Acapulco,Chilpancingo,129,1139,1150,1163,1119,39
Acayucan,Tehuantepec,201,1433,1089,1420,1170,82
Acayucan,Tuxtla Guti?rrez,275,1433,1089,1548,1137,125
Acayucan,Villa Hermosa,236,1433,1089,1582,1053,153
Agua Prieta,Santa Ana,236,515,157,404,192,116
Aguascalientes,Guadalajara,250,946,826,886,909,102
Aguascalientes,Guanajuato,82,946,826,1023,900,107
Alvarado,Acayucan,248,1386,1042,1433,1089,66
Alvarado,Oaxaca,339,1386,1042,1316,1142,122
Atlacomulco,Quer?taro,120,1128,953,1104,900,58
Campeche,Ciudad del Carmen,225,1730,914,1676,979,85
Canc?n,Valladolid,161,1921,821,1847,829,74
Ciudad Altamirano,Toluca,180,1083,1052,1137,993,80
Ciudad Altamirano,Cuernavaca,102,1083,1052,1170,1026,91
Ciudad Altamirano,Zihuatanejo,183,1083,1052,1040,1116,77
Ciudad del Carmen,Villa Hermosa,168,1676,979,1582,1053,120
Ciudad Obreg?n,Guaymas,80,473,403,426,367,59
Ciudad Victoria,Matamoros,269,1183,703,1233,529,181
Ciudad Victoria,Tampico,243,1183,703,1221,784,89
Ciudad Victoria,Soto la Marina,121,1183,703,1222,702,39
Colima,Morelia,315,860,1005,1035,983,176
Colima,Playa Azul,250,860,1005,973,1070,130
C?rdoba,Veracruz,70,1328,1017,1348,996,29
Culiac?n,Hidalgo del Parral,500,640,623,687,434,195
Culiac?n,Topolobampo,206,640,623,540,511,150
Chetumal,Felipe Carrillo Puerto,153,1862,967,1881,888,81
Chetumal,M?rida,301,1862,967,1774,833,160
Chetumal,Campeche,350,1862,967,1730,914,142
Chihuahua,Ju?rez,354,707,332,681,128,206
Chihuahua,Ojinaga,114,707,332,795,268,109
Chihuahua,Janos,320,707,332,590,177,194
Chilpancingo,Iguala,100,1163,1119,1155,1071,49
Durango,Mazatl?n,283,808,681,734,762,110
Durango,Torre?n,229,808,681,895,559,150
Ensenada,San Quint?n,190,100,93,136,184,98
Felipe Carrillo Puerto,Canc?n,226,1881,888,1921,821,78
Felipe Carrillo Puerto,Valladolid,160,1881,888,1847,829,68
Francisco Esc?rcega,Chetumal,273,1717,992,1862,967,147
Guadalajara,Colima,401,886,909,860,1005,99
Guadalajara,Manzanillo,278,886,909,820,998,111
Guadalajara,Salamanca,260,886,909,1020,937,137
Guadalajara,Tepic,227,886,909,780,843,125
Guanajuato,Salamanca,45,1023,900,1020,937,37
Guaymas,Hermosillo,142,426,367,411,317,52
Hermosillo,Santa Ana,277,411,317,404,192,125
Hidalgo del Parral,Chihuahua,187,687,434,707,332,104
Hidalgo del Parral,Topolobampo,380,687,434,540,511,166
Hidalgo del Parral,Durango,411,687,434,808,681,275
Huizache,Ciudad Victoria,238,1084,754,1183,703,111
Huizache,San Luis Potos?,108,1084,754,1145,792,72
Iguala,Ciudad Altamirano,82,1155,1071,1083,1052,74
Iguala,Cuernavaca,122,1155,1071,1170,1026,47
Iz?car de Matamoros,Cuernavaca,121,1238,1067,1170,1026,79
Jalapa,Tlaxcala,189,1302,965,1224,981,80
Janos,Agua Prieta,111,590,177,515,157,78
Ju?rez,Janos,161,681,128,590,177,103
La Paz,Cabo San Lucas,163,429,650,455,710,65
Manzanillo,Colima,80,820,998,860,1005,41
Manzanillo,Playa Azul,275,820,998,973,1070,169
Matamoros,Reynosa,98,1233,529,1186,516,49
Mazatl?n,Culiac?n,226,734,762,640,623,168
Mazatl?n,Tepic,278,734,762,779,844,94
M?rida,Campeche,192,1774,833,1730,914,92
Mexicalli,Tijuana,189,167,34,87,36,80
Mexicalli,San Felipe,204,167,34,176,154,120
M?xico,Cuernavaca,76,1169,985,1170,1026,41
M?xico,Pachuca,88,1169,985,1184,914,73
M?xico,Puebla,133,1169,985,1233,1021,73
M?xico,Quer?taro,215,1169,985,1104,900,107
M?xico,Tlaxcala,156,1169,985,1224,981,55
M?xico,Toluca,66,1169,985,1137,993,33
Monclova,Piedras Negras,236,999,472,1041,338,140
Monclova,Torre?n,332,999,472,895,559,136
Monterrey,Ciudad Victoria,276,1077,529,1183,703,204
Monterrey,Monclova,194,1077,529,999,472,97
Monterrey,Nuevo Laredo,230,1077,529,1098,418,113
Morelia,Playa Azul,369,1035,983,973,1070,107
Morelia,Salamanca,111,1035,983,1020,937,48
Nuevo Laredo,Piedras Negras,164,1098,418,1041,338,98
Oaxaca,Iz?car de Matamoros,121,1316,1142,1238,1067,108
Oaxaca,Puerto Angel,170,1316,1142,1343,1209,72
Oaxaca,Tehuac?n,140,1316,1142,1279,1062,88
Pachuca,Tuxpan,261,1184,914,1247,853,88
Pinotepa Nacional,Acapulco,259,1256,1190,1139,1150,124
Playa Azul,Zihuatanejo,122,973,1070,1040,1116,81
Puebla,C?rdoba,188,1233,1021,1328,1017,95
Puebla,Iz?car de Matamoros,115,1233,1021,1238,1067,46
Puerto Angel,Pinotepa Nacional,387,1343,1209,1256,1190,89
Puerto Vallarta,Manzanillo,267,749,906,820,998,116
Reynosa,Nuevo Laredo,237,1186,516,1098,418,132
Salamanca,Quer?taro,87,1020,937,1104,900,92
Saltillo,Huizache,344,1014,548,1084,754,218
Saltillo,Monclova,203,1014,548,999,472,77
Saltillo,Monterrey,86,1014,548,1077,529,66
San Felipe,Ensenada,251,176,154,100,93,97
San Luis Potos?,Aguascalientes,188,1145,792,946,826,202
San Luis Potos?,Quer?taro,205,1145,792,1104,900,116
San Luis Potos?,Zacatecas,128,1145,792,943,755,205
San Quint?n,Santa Rosal?a,605,136,184,319,415,295
Santa Ana,Sono?ta,362,404,192,280,91,160
Santa Rosal?a,Santo Domingo,317,319,415,343,556,143
Santo Domingo,La Paz,236,343,556,429,650,127
Sono?ta,Mexicalli,271,280,91,167,34,127
Tampico,Quer?taro,380,1221,784,1103,898,164
Tampico,San Luis Potos?,254,1221,784,1145,792,76
Tapachula,Thehuantepec,418,1608,1233,1548,1137,113
Tehuac?n,C?rdoba,120,1279,1062,1328,1017,67
Tehuac?n,Puebla,90,1279,1062,1233,1021,62
Tehuantepec,Oaxaca,264,1420,1170,1316,1142,108
Tehuantepec,Puerto Angel,194,1420,1170,1343,1209,86
Tehuantepec,Tuxtla Guti?rrez,275,1420,1170,1548,1137,132
Tepic,Puerto Vallarta,169,779,844,749,906,69
Tijuana,Ensenada,108,87,36,100,93,58
Toluca,Atlacomulco,67,1137,993,1128,953,41
Toluca,Morelia,243,1137,993,1035,983,102
Topolobampo,Ciudad Obreg?n,201,540,511,473,403,127
Torre?n,Chihuahua,460,895,559,707,332,295
Torre?n,Saltillo,277,895,559,1014,548,120
Tuxpan,Tampico,193,1247,853,1221,784,74
Tuxpan,Veracruz,313,1247,853,1348,996,175
Tuxtla Guti?rrez,Villa Hermosa,395,1548,1137,1582,1053,91
Valladolid,M?rida,180,1847,829,1774,833,73
Veracruz,Alvarado,150,1348,996,1386,1042,60
Veracruz,Jalapa,119,1348,996,1302,965,55
Villa Hermosa,Francisco Esc?rcega,304,1582,1053,1717,992,148
Zacatecas,Aguascalientes,128,943,755,946,826,71
Zacatecas,Durango,289,943,755,808,681,154
Zacatecas,Guadalajara,318,943,755,886,909,164
Zacatecas,Saltillo,363,943,755,1014,548,219
Zacatecas,Torre?n,376,943,755,895,559,202
Zihuatanejo,Acapulco,239,1040,1116,1139,1150,105
